year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
2001,T_2476,Powiat m. Świętochłowice,97.0,158.0
2001,T_2411,Powiat raciborski,161.0,399.0
2001,T_2412,Powiat rybnicki,63.0,324.0
2001,T_2415,Powiat wodzisławski,211.0,611.0
2001,T_2467,Powiat m. Jastrzębie-Zdrój,193.0,410.0
2001,T_2473,Powiat m. Rybnik,219.0,567.0
2001,T_2479,Powiat m. Żory,126.0,313.0
2001,T_2401,Powiat będziński,243.0,435.0
2001,T_2416,Powiat zawierciański,180.0,500.0
2001,T_2465,Powiat m. Dąbrowa Górnicza,237.0,433.0
2001,T_2468,Powiat m. Jaworzno,148.0,367.0
2001,T_2475,Powiat m. Sosnowiec,470.0,665.0
2001,T_2408,Powiat mikołowski,104.0,327.0
2001,T_2410,Powiat pszczyński,107.0,379.0
2001,T_2414,Powiat bieruńsko-lędziński,60.0,185.0
2001,T_2477,Powiat m. Tychy,232.0,515.0
2001,T_0801,Powiat gorzowski,95.0,195.0
2001,T_0803,Powiat międzyrzecki,89.0,227.0
2001,T_0805,Powiat słubicki,59.0,142.0
2001,T_0806,Powiat strzelecko-drezdenecki,82.0,185.0
2001,T_0807,Powiat sulęciński,50.0,115.0
2001,T_0861,Powiat m. Gorzów Wielkopolski,232.0,384.0
2001,T_0802,Powiat krośnieński,95.0,165.0
2001,T_0804,Powiat nowosolski,177.0,447.0
2001,T_0808,Powiat świebodziński,82.0,179.0
2001,T_0809,Powiat zielonogórski,127.0,274.0
2001,T_0810,Powiat żagański,151.0,241.0
2001,T_0811,Powiat żarski,154.0,320.0
2001,T_0862,Powiat m. Zielona Góra,222.0,339.0
2001,T_3006,Powiat jarociński,54.0,331.0
2001,T_3007,Powiat kaliski,72.0,401.0
2001,T_3008,Powiat kępiński,38.0,285.0
2001,T_3012,Powiat krotoszyński,64.0,378.0
2001,T_3017,Powiat ostrowski,158.0,699.0
2001,T_3018,Powiat ostrzeszowski,59.0,257.0
2001,T_3020,Powiat pleszewski,42.0,332.0
2001,T_3061,Powiat m. Kalisz,185.0,354.0
2001,T_3003,Powiat gnieźnieński,145.0,625.0
2001,T_3009,Powiat kolski,97.0,402.0
2001,T_3010,Powiat koniński,107.0,548.0
2001,T_3023,Powiat słupecki,57.0,253.0
2001,T_3027,Powiat turecki,76.0,398.0
2001,T_3030,Powiat wrzesiński,56.0,358.0
2001,T_3062,Powiat m. Konin,169.0,355.0
2001,T_3004,Powiat gostyński,47.0,354.0
2001,T_3005,Powiat grodziski,30.0,245.0
2001,T_3011,Powiat kościański,58.0,351.0
2001,T_3013,Powiat leszczyński,46.0,240.0
2001,T_3014,Powiat międzychodzki,35.0,129.0
2001,T_3015,Powiat nowotomyski,77.0,307.0
2001,T_3022,Powiat rawicki,52.0,300.0
2001,T_3029,Powiat wolsztyński,25.0,249.0
2001,T_3063,Powiat m. Leszno,112.0,244.0
2001,T_3001,Powiat chodzieski,47.0,183.0
2001,T_3002,Powiat czarnkowsko-trzcianecki,97.0,372.0
2001,T_3019,Powiat pilski,193.0,547.0
2001,T_3028,Powiat wągrowiecki,64.0,323.0
2001,T_3031,Powiat złotowski,104.0,317.0
2001,T_3016,Powiat obornicki,45.0,257.0
2001,T_3021,Powiat poznański,306.0,948.0
2001,T_3024,Powiat szamotulski,90.0,375.0
2001,T_3025,Powiat średzki,63.0,242.0
2001,T_3026,Powiat śremski,66.0,286.0
2001,T_3064,Powiat m. Poznań,959.0,1757.0
2001,T_3201,Powiat białogardzki,64.0,133.0
2001,T_3208,Powiat kołobrzeski,138.0,228.0
2001,T_3209,Powiat koszaliński,102.0,173.0
2001,T_3213,Powiat sławieński,117.0,206.0
2001,T_3261,Powiat m. Koszalin,220.0,293.0
2001,T_3202,Powiat choszczeński,79.0,166.0
2001,T_3203,Powiat drawski,92.0,199.0
2001,T_3210,Powiat myśliborski,118.0,253.0
2001,T_3212,Powiat pyrzycki,54.0,147.0
2001,T_3215,Powiat szczecinecki,115.0,262.0
2001,T_3216,Powiat świdwiński,78.0,158.0
2001,T_3217,Powiat wałecki,83.0,199.0
2001,T_3262,Powiat m. Szczecin,837.0,1025.0
2001,T_3204,Powiat goleniowski,123.0,243.0
2001,T_3205,Powiat gryficki,133.0,210.0
2001,T_3206,Powiat gryfiński,105.0,277.0
