year,harmonised_code,harmonised_name,marriages_civil,marriages_religious
2006,I_37,Salamanca,460.0,876.0
2006,I_38,Canarias,1838.0,1618.0
2006,I_39,Cantabria,1184.0,1638.0
2006,I_40,Segovia,215.0,371.0
2006,I_41,Sevilla,2833.0,7741.0
2006,I_42,Soria,134.0,174.0
2006,I_43,Tarragona,1981.0,1527.0
2006,I_44,Teruel,196.0,293.0
2006,I_45,Toledo,841.0,2193.0
2006,I_46,Valencia,5604.0,7048.0
2006,I_47,Valladolid,868.0,1636.0
2006,I_48,Bizkaia,2314.0,2426.0
2006,I_49,Zamora,205.0,360.0
2006,I_50,Zaragoza,1640.0,2552.0
2006,I_51,Ceuta,190.0,135.0
2006,I_52,Melilla,288.0,111.0
2007,I_01,Alava,619.0,597.0
2007,I_02,Albacete,536.0,1092.0
2007,I_03,Alicante,3352.0,3998.0
2007,I_04,Almeria,1030.0,1806.0
2007,I_05,Avila,206.0,373.0
2007,I_06,Badajoz,759.0,2133.0
2007,I_07,Illes Balears,2546.0,1799.0
2007,I_08,Barcelona,14566.0,7816.0
2007,I_09,Burgos,602.0,845.0
2007,I_10,Caceres,470.0,1057.0
2007,I_11,Cadiz,1836.0,4056.0
2007,I_12,Castellon,1314.0,1381.0
2007,I_13,Ciudad Real,599.0,1722.0
2007,I_14,Cordoba,988.0,2983.0
2007,I_15,A Coruna,2035.0,2714.0
2007,I_16,Cuenca,202.0,497.0
2007,I_17,Girona,1896.0,969.0
2007,I_18,Granada,1370.0,2807.0
2007,I_19,Guadalajara,562.0,682.0
2007,I_20,Gipuzkoa,1603.0,1490.0
2007,I_21,Huelva,733.0,1736.0
2007,I_22,Huesca,379.0,417.0
2007,I_23,Jaen,691.0,2417.0
2007,I_24,Leon,785.0,975.0
2007,I_25,Lleida,998.0,823.0
2007,I_26,La Rioja,587.0,767.0
2007,I_27,Lugo,440.0,701.0
2007,I_28,Madrid,13692.0,14308.0
2007,I_29,Malaga,3129.0,4109.0
2007,I_30,Murcia,2096.0,4551.0
2007,I_31,Navarra,1273.0,1432.0
2007,I_32,Ourense,558.0,705.0
2007,I_33,Asturias,2354.0,2503.0
2007,I_34,Palencia,236.0,385.0
2007,I_35,Las Palmas,1877.0,1397.0
2007,I_36,Pontevedra,1722.0,2236.0
2007,I_37,Salamanca,479.0,891.0
2007,I_38,Canarias,1690.0,1439.0
2007,I_39,Cantabria,1304.0,1644.0
2007,I_40,Segovia,214.0,380.0
2007,I_41,Sevilla,3152.0,7213.0
2007,I_42,Soria,123.0,165.0
2007,I_43,Tarragona,2077.0,1400.0
2007,I_44,Teruel,205.0,276.0
2007,I_45,Toledo,933.0,2158.0
2007,I_46,Valencia,5992.0,6173.0
2007,I_47,Valladolid,891.0,1662.0
2007,I_48,Bizkaia,2456.0,2297.0
2007,I_49,Zamora,213.0,384.0
2007,I_50,Zaragoza,1596.0,2435.0
2007,I_51,Ceuta,215.0,158.0
2007,I_52,Melilla,428.0,97.0
2008,I_01,Alava,670.0,570.0
2008,I_02,Albacete,544.0,939.0
2008,I_03,Alicante,3497.0,3424.0
2008,I_04,Almeria,1216.0,1543.0
2008,I_05,Avila,194.0,402.0
2008,I_06,Badajoz,836.0,2081.0
2008,I_07,Illes Balears,2524.0,1614.0
2008,I_08,Barcelona,15558.0,6872.0
2008,I_09,Burgos,534.0,831.0
2008,I_10,Caceres,424.0,1057.0
2008,I_11,Cadiz,1963.0,3624.0
2008,I_12,Castellon,1244.0,1240.0
2008,I_13,Ciudad Real,572.0,1656.0
2008,I_14,Cordoba,1024.0,2869.0
2008,I_15,A Coruna,2171.0,2570.0
2008,I_16,Cuenca,187.0,501.0
