,election_date,election_type,harmonised_code,harmonised_name,pc1
432,2006_04_09,camera,ITC31,imperia,0.1324988518232656
433,2006_04_09,camera,ITC32,savona,0.01890637405662699
434,2006_04_09,camera,ITC33,genova,-0.06623064855688783
435,2006_04_09,camera,ITC34,la spezia,-0.06892972208084272
436,2006_04_09,camera,ITC41,varese,0.12071351067813418
437,2006_04_09,camera,ITC42,como,0.14369913534801212
438,2006_04_09,camera,ITC43,lecco,0.07599783360587671
439,2006_04_09,camera,ITC44,sondrio,0.15357572707983425
440,2006_04_09,camera,ITC46,bergamo,0.1324259267825695
441,2006_04_09,camera,ITC47,brescia,0.10234117130313389
442,2006_04_09,camera,ITC48,pavia,0.07066159094746563
443,2006_04_09,camera,ITC49,lodi,0.06042941402011479
444,2006_04_09,camera,ITC4A,cremona,0.06593426888933171
445,2006_04_09,camera,ITC4B,mantova,-0.027390336283729864
446,2006_04_09,camera,ITC4C,milano,0.04397216067572014
447,2006_04_09,camera,ITC4D,monza e della brianza,0.08667504325244954
448,2006_04_09,camera,ITF11,laquila,0.016660154258149644
449,2006_04_09,camera,ITF12,teramo,-0.03860399597909311
450,2006_04_09,camera,ITF13,pescara,-0.03255515622484977
