,election_date,election_type,harmonised_code,harmonised_name,pc1
152,2000_10_08,president_a,T_1418,piaseczyński,-0.10697815937629662
153,2000_10_08,president_a,T_1419,płocki,0.021362141468757423
154,2000_10_08,president_a,T_1420,płoński,0.012274939236109172
155,2000_10_08,president_a,T_1421,pruszkowski,-0.14448200290219543
156,2000_10_08,president_a,T_1422,przasnyski,-0.0665068953940276
157,2000_10_08,president_a,T_1423,przysuski,-0.1687966389817914
158,2000_10_08,president_a,T_1424,pułtuski,-0.09097836943271331
159,2000_10_08,president_a,T_1425,radomski,-0.1039664761360522
160,2000_10_08,president_a,T_1426,siedlecki,-0.2103151398908179
161,2000_10_08,president_a,T_1427,sierpecki,0.025115390924232872
162,2000_10_08,president_a,T_1428,sochaczewski,-0.019383727523604177
163,2000_10_08,president_a,T_1429,sokołowski,-0.21521245550150575
164,2000_10_08,president_a,T_1430,szydłowiecki,-0.041291548850572735
165,2000_10_08,president_a,T_1432,warszawski zachodni,-0.1142084526846952
166,2000_10_08,president_a,T_1433,węgrowski,-0.15357838283128356
167,2000_10_08,president_a,T_1434,wołomiński,-0.19870451710091316
168,2000_10_08,president_a,T_1435,wyszkowski,-0.15433049224624623
169,2000_10_08,president_a,T_1436,zwoleński,-0.10127911619579527
170,2000_10_08,president_a,T_1437,żuromiński,0.00326760311518548
171,2000_10_08,president_a,T_1438,żyrardowski,0.030227703144668827
172,2000_10_08,president_a,T_1461,Ostrołęka,-0.04657694415281133
173,2000_10_08,president_a,T_1462,Płock,0.09485328339713894
174,2000_10_08,president_a,T_1463,Radom,-0.04580394271109872
175,2000_10_08,president_a,T_1464,Siedlce,-0.004301554484228642
176,2000_10_08,president_a,T_1465,Warszawa,-0.10839016327472795
177,2000_10_08,president_a,T_1499,abroad,-0.28722364464060035
178,2000_10_08,president_a,T_1601,brzeski,0.014608333343921975
179,2000_10_08,president_a,T_1602,głubczycki,-0.0012362683748197711
180,2000_10_08,president_a,T_1603,kędzierzyńsko-kozielski,0.015418028324399757
181,2000_10_08,president_a,T_1604,kluczborski,-0.013929984056095024
182,2000_10_08,president_a,T_1605,krapkowicki,0.022131903585358215
